Name,Sex,NOC,Year,Season,City,Sport,Event,Medal
Attila brahm,M,HUN,1988,Summer,Seoul,Canoeing,"Canoeing Men's Kayak Doubles, 500 metres",Bronze
Attila brahm,M,HUN,1988,Summer,Seoul,Canoeing,"Canoeing Men's Kayak Fours, 1,000 metres",Gold
Attila brahm,M,HUN,1992,Summer,Barcelona,Canoeing,"Canoeing Men's Kayak Fours, 1,000 metres",Silver
Gary Abraham,M,GBR,1980,Summer,Moskva,Swimming,Swimming Men's 4 x 100 metres Medley Relay,Bronze
Ara Abrahamian,M,SWE,2004,Summer,Athina,Wrestling,"Wrestling Men's Light-Heavyweight, Greco-Roman",Silver
Harold Maurice Abrahams,M,GBR,1924,Summer,Paris,Athletics,Athletics Men's 100 metres,Gold
Harold Maurice Abrahams,M,GBR,1924,Summer,Paris,Athletics,Athletics Men's 4 x 100 metres Relay,Silver
Isak Abrahamsen,M,NOR,1912,Summer,Stockholm,Gymnastics,"Gymnastics Men's Team All-Around, Free System",Gold
Erik Adolf Efraim Abrahamsson,M,SWE,1920,Summer,Antwerpen,Athletics,Athletics Men's Long Jump,Bronze
Karl Gustaf Emanuel Abrahamsson,M,SWE,1928,Winter,Sankt Moritz,Ice Hockey,Ice Hockey Men's Ice Hockey,Silver
Pavel Sergeyevich Abramov,M,RUS,2004,Summer,Athina,Volleyball,Volleyball Men's Volleyball,Bronze
Nelli Mikhaylovna Abramova,F,URS,1964,Summer,Tokyo,Volleyball,Volleyball Women's Volleyball,Silver
Yekaterina Konstantinovna Abramova,F,RUS,2006,Winter,Torino,Speed Skating,Speed Skating Women's Team Pursuit (6 laps),Bronze
"Alejandro ""lex"" Abrines Redondo",M,ESP,2016,Summer,Rio de Janeiro,Basketball,Basketball Men's Basketball,Bronze
Svetlana Olegovna Abrosimova,F,RUS,2008,Summer,Beijing,Basketball,Basketball Women's Basketball,Bronze
Saypulla Atavovich Absaidov,M,URS,1980,Summer,Moskva,Wrestling,"Wrestling Men's Lightweight, Freestyle",Gold
Julien Absalon,M,FRA,2004,Summer,Athina,Cycling,"Cycling Men's Mountainbike, Cross-Country",Gold
Julien Absalon,M,FRA,2008,Summer,Beijing,Cycling,"Cycling Men's Mountainbike, Cross-Country",Gold
Ahmad Abughaush,M,JOR,2016,Summer,Rio de Janeiro,Taekwondo,Taekwondo Men's Featherweight,Gold
Ginko Abukawa-Chiba,F,JPN,1964,Summer,Tokyo,Gymnastics,Gymnastics Women's Team All-Around,Bronze
Aleksandr Veniaminovich Abushakhmetov,M,URS,1980,Summer,Moskva,Fencing,"Fencing Men's epee, Team",Bronze
Magomedgasan Mingazhutdinovich Abushev,M,URS,1980,Summer,Moskva,Wrestling,"Wrestling Men's Featherweight, Freestyle",Gold
Andreea Roxana Acatrinei,F,ROU,2008,Summer,Beijing,Gymnastics,Gymnastics Women's Team All-Around,Bronze
William Accambray,M,FRA,2012,Summer,London,Handball,Handball Men's Handball,Gold
Paul Accola,M,SUI,1988,Winter,Calgary,Alpine Skiing,Alpine Skiing Men's Combined,Bronze
Domingo Gmez-Acedo Villanueva,M,ESP,1920,Summer,Antwerpen,Football,Football Men's Football,Silver
Anibl Santiago Acevedo,M,PUR,1992,Summer,Barcelona,Boxing,Boxing Men's Welterweight,Bronze
Daniel Aceves Villagrn,M,MEX,1984,Summer,Los Angeles,Wrestling,"Wrestling Men's Flyweight, Greco-Roman",Silver
Joachim Yaw Acheampong,M,GHA,1992,Summer,Barcelona,Football,Football Men's Football,Bronze
Alfred Achermann,M,SUI,1984,Summer,Los Angeles,Cycling,Cycling Men's 100 kilometres Team Time Trial,Silver
Abdel Hak Achik,M,MAR,1988,Summer,Seoul,Boxing,Boxing Men's Featherweight,Bronze
Mohamed Abdelhak Achik,M,MAR,1992,Summer,Barcelona,Boxing,Boxing Men's Bantamweight,Bronze
Rita Nikolayevna Achkina,F,URS,1968,Winter,Grenoble,Cross Country Skiing,Cross Country Skiing Women's 3 x 5 kilometres Relay,Bronze
Chantal Achterberg,F,NED,2012,Summer,London,Rowing,Rowing Women's Coxed Eights,Bronze
Chantal Achterberg,F,NED,2016,Summer,Rio de Janeiro,Rowing,Rowing Women's Quadruple Sculls,Silver
Fausto Alesio Acke (Padovini-),M,SWE,1920,Summer,Antwerpen,Gymnastics,"Gymnastics Men's Team All-Around, Swedish System",Gold
Paul Douglas Ackerley,M,NZL,1976,Summer,Montreal,Hockey,Hockey Men's Hockey,Gold
"Charles Edwin ""Charley"" Ackerly",M,USA,1920,Summer,Antwerpen,Wrestling,"Wrestling Men's Featherweight, Freestyle",Gold
Ronny Ackermann,M,GER,2002,Winter,Salt Lake City,Nordic Combined,Nordic Combined Men's Team,Silver
Ronny Ackermann,M,GER,2002,Winter,Salt Lake City,Nordic Combined,Nordic Combined Men's Sprint,Silver
Ronny Ackermann,M,GER,2006,Winter,Torino,Nordic Combined,Nordic Combined Men's Team,Silver
Donat Acklin,M,SUI,1992,Winter,Albertville,Bobsleigh,Bobsleigh Men's Two,Gold
Donat Acklin,M,SUI,1992,Winter,Albertville,Bobsleigh,Bobsleigh Men's Four,Bronze
Donat Acklin,M,SUI,1994,Winter,Lillehammer,Bobsleigh,Bobsleigh Men's Two,Gold
Donat Acklin,M,SUI,1994,Winter,Lillehammer,Bobsleigh,Bobsleigh Men's Four,Silver
Guido Acklin,M,SUI,1994,Winter,Lillehammer,Bobsleigh,Bobsleigh Men's Two,Silver
Lautaro Germn Acosta,M,ARG,2008,Summer,Beijing,Football,Football Men's Football,Gold
Osmay Acosta Duarte,M,CUB,2008,Summer,Beijing,Boxing,Boxing Men's Heavyweight,Bronze
Martn Ral Acosta y Lara Daz,M,URU,1952,Summer,Helsinki,Basketball,Basketball Men's Basketball,Bronze
Kazimierz Piotr Adach,M,POL,1980,Summer,Moskva,Boxing,Boxing Men's Lightweight,Bronze
"Gordon Belgum ""Gordy"" Adam",M,USA,1936,Summer,Berlin,Rowing,Rowing Men's Coxed Eights,Gold
Ji Adam,M,TCH,1976,Summer,Montreal,Modern Pentathlon,Modern Pentathlon Men's Team,Silver
"Michael B. ""Mike"" Adam",M,CAN,2006,Winter,Torino,Curling,Curling Men's Curling,Gold
Otto Adam,M,GER,1936,Summer,Berlin,Fencing,"Fencing Men's Foil, Team",Bronze
Pierre Louis Eugne Adam,M,FRA,1948,Summer,London,Cycling,"Cycling Men's Team Pursuit, 4,000 metres",Gold
Dariusz Adamczuk,M,POL,1992,Summer,Barcelona,Football,Football Men's Football,Silver
"Benjamin Willard ""Ben"" Adams",M,USA,1912,Summer,Stockholm,Athletics,Athletics Men's Standing High Jump,Silver
"Benjamin Willard ""Ben"" Adams",M,USA,1912,Summer,Stockholm,Athletics,Athletics Men's Standing Long Jump,Bronze
Edgar Holmes Adams,M,USA,1904,Summer,St. Louis,Swimming,Swimming Men's Plunge For Distance,Silver
Harry Lester Adams,M,USA,1912,Summer,Stockholm,Shooting,"Shooting Men's Military Rifle, 200, 400, 500 and 600 metres, Team",Gold
Adrian Neil Adams,M,GBR,1980,Summer,Moskva,Judo,Judo Men's Lightweight,Silver
Adrian Neil Adams,M,GBR,1984,Summer,Los Angeles,Judo,Judo Men's Half-Middleweight,Silver
Nicola Virginia Adams,F,GBR,2012,Summer,London,Boxing,Boxing Women's Flyweight,Gold
Nicola Virginia Adams,F,GBR,2016,Summer,Rio de Janeiro,Boxing,Boxing Women's Flyweight,Gold
Platt Adams,M,USA,1912,Summer,Stockholm,Athletics,Athletics Men's Standing High Jump,Gold
Platt Adams,M,USA,1912,Summer,Stockholm,Athletics,Athletics Men's Standing Long Jump,Silver
Rachael Alexis Adams,F,USA,2016,Summer,Rio de Janeiro,Volleyball,Volleyball Women's Volleyball,Bronze
"Victoria ""Vicki"" Adams",F,GBR,2014,Winter,Sochi,Curling,Curling Women's Curling,Bronze
Valerie Kasanita Adams-Vili (-Price),F,NZL,2008,Summer,Beijing,Athletics,Athletics Women's Shot Put,Gold
Valerie Kasanita Adams-Vili (-Price),F,NZL,2012,Summer,London,Athletics,Athletics Women's Shot Put,Gold
Valerie Kasanita Adams-Vili (-Price),F,NZL,2016,Summer,Rio de Janeiro,Athletics,Athletics Women's Shot Put,Silver
Filip Kamil Adamski,M,GER,2012,Summer,London,Rowing,Rowing Men's Coxed Eights,Gold
Herbert Adamski,M,GER,1936,Summer,Berlin,Rowing,Rowing Men's Coxed Pairs,Gold
Jerzy Adamski,M,POL,1960,Summer,Roma,Boxing,Boxing Men's Featherweight,Silver
Simon Addo,M,GHA,1992,Summer,Barcelona,Football,Football Men's Football,Bronze
Eugene Addor,M,SUI,1920,Summer,Antwerpen,Shooting,"Shooting Men's Military Rifle, 300 metres and 600 metres, Prone, Team",Bronze
Olubayo Adefemi,M,NGR,2008,Summer,Beijing,Football,Football Men's Football,Silver
"Ayodele ""Dele"" Adeleye",M,NGR,2008,Summer,Beijing,Football,Football Men's Football,Silver
Ademir Roque Kaefer,M,BRA,1984,Summer,Los Angeles,Football,Football Men's Football,Silver
Ademir Roque Kaefer,M,BRA,1988,Summer,Seoul,Football,Football Men's Football,Silver
Olapade Charles Adeniken,M,NGR,1992,Summer,Barcelona,Athletics,Athletics Men's 4 x 100 metres Relay,Silver
Adenzia Aparecida Ferreira da Silva,F,BRA,2012,Summer,London,Volleyball,Volleyball Women's Volleyball,Gold
Franck Adisson,M,FRA,1992,Summer,Barcelona,Canoeing,"Canoeing Men's Canadian Doubles, Slalom",Bronze
Franck Adisson,M,FRA,1996,Summer,Atlanta,Canoeing,"Canoeing Men's Canadian Doubles, Slalom",Gold
"Richard ""Richy""  Adjei",M,GER,2010,Winter,Vancouver,Bobsleigh,Bobsleigh Men's Two,Silver
Sammi Adjei,M,GHA,1992,Summer,Barcelona,Football,Football Men's Football,Bronze
"Charles ""Chuck"" Adkins",M,USA,1952,Summer,Helsinki,Boxing,Boxing Men's Light-Welterweight,Gold
Derrick Ralph Adkins,M,USA,1996,Summer,Atlanta,Athletics,Athletics Men's 400 metres Hurdles,Gold
"Robert Edward ""Bob"" Adlard",M,GBR,1948,Summer,London,Hockey,Hockey Men's Hockey,Silver
Daniel Adler,M,BRA,1984,Summer,Los Angeles,Sailing,Sailing Mixed Three Person Keelboat,Silver
Egon Adler,M,GER,1960,Summer,Roma,Cycling,Cycling Men's 100 kilometres Team Time Trial,Silver
"Margarete ""Grete"" Adler",F,AUT,1912,Summer,Stockholm,Swimming,Swimming Women's 4 x 100 metres Freestyle Relay,Bronze
Gregor Nils Henric Adlercreutz,M,SWE,1936,Summer,Berlin,Equestrianism,"Equestrianism Men's Dressage, Team",Bronze
Nils August Domingo Adlercreutz,M,SWE,1912,Summer,Stockholm,Equestrianism,"Equestrianism Men's Three-Day Event, Team",Gold
Anna Mrtha Vilhelmina Adlerstrhle (von Oelreich-),F,SWE,1908,Summer,London,Tennis,"Tennis Women's Singles, Covered Courts",Bronze
Erik William Adlerz,M,SWE,1912,Summer,Stockholm,Diving,Diving Men's Platform,Gold
Erik William Adlerz,M,SWE,1912,Summer,Stockholm,Diving,Diving Men's Plain High,Gold
Erik William Adlerz,M,SWE,1920,Summer,Antwerpen,Diving,Diving Men's Platform,Silver
"Rebecca ""Becky"" Adlington",F,GBR,2008,Summer,Beijing,Swimming,Swimming Women's 400 metres Freestyle,Gold
"Rebecca ""Becky"" Adlington",F,GBR,2008,Summer,Beijing,Swimming,Swimming Women's 800 metres Freestyle,Gold
"Rebecca ""Becky"" Adlington",F,GBR,2012,Summer,London,Swimming,Swimming Women's 400 metres Freestyle,Bronze
"Rebecca ""Becky"" Adlington",F,GBR,2012,Summer,London,Swimming,Swimming Women's 800 metres Freestyle,Bronze
Dainius Adomaitis,M,LTU,2000,Summer,Sydney,Basketball,Basketball Men's Basketball,Bronze
Nathan Ghar-Jun Adrian,M,USA,2008,Summer,Beijing,Swimming,Swimming Men's 4 x 100 metres Freestyle Relay,Gold
Nathan Ghar-Jun Adrian,M,USA,2012,Summer,London,Swimming,Swimming Men's 100 metres Freestyle,Gold
Nathan Ghar-Jun Adrian,M,USA,2012,Summer,London,Swimming,Swimming Men's 4 x 100 metres Freestyle Relay,Silver
Nathan Ghar-Jun Adrian,M,USA,2012,Summer,London,Swimming,Swimming Men's 4 x 100 metres Medley Relay,Gold
Nathan Ghar-Jun Adrian,M,USA,2016,Summer,Rio de Janeiro,Swimming,Swimming Men's 50 metres Freestyle,Bronze
Nathan Ghar-Jun Adrian,M,USA,2016,Summer,Rio de Janeiro,Swimming,Swimming Men's 100 metres Freestyle,Bronze
Nathan Ghar-Jun Adrian,M,USA,2016,Summer,Rio de Janeiro,Swimming,Swimming Men's 4 x 100 metres Freestyle Relay,Gold
Nathan Ghar-Jun Adrian,M,USA,2016,Summer,Rio de Janeiro,Swimming,Swimming Men's 4 x 100 metres Medley Relay,Gold
Adriana Aparecida dos Santos,F,BRA,1996,Summer,Atlanta,Basketball,Basketball Women's Basketball,Silver
Adriana Aparecida dos Santos,F,BRA,2000,Summer,Sydney,Basketball,Basketball Women's Basketball,Bronze
"Adriana ""Adrianinha"" Moiss Pinto",F,BRA,2000,Summer,Sydney,Basketball,Basketball Women's Basketball,Bronze
Attila Adrovicz,M,HUN,1996,Summer,Atlanta,Canoeing,"Canoeing Men's Kayak Fours, 1,000 metres",Silver
Klaus Aeffke,M,GER,1964,Summer,Tokyo,Rowing,Rowing Men's Coxed Eights,Silver
Kseniya Dmitriyevna Afanasyeva,F,RUS,2012,Summer,London,Gymnastics,Gymnastics Women's Team All-Around,Silver
Maksim Sergeyevich Afinogenov,M,RUS,2002,Winter,Salt Lake City,Ice Hockey,Ice Hockey Men's Ice Hockey,Bronze
"Olabisi ""Bisi"" Afolabi",F,NGR,1996,Summer,Atlanta,Athletics,Athletics Women's 4 x 400 metres Relay,Silver
Felicia Afrsiloaie (-Jitianu),F,ROU,1976,Summer,Montreal,Rowing,Rowing Women's Coxed Quadruple Sculls,Bronze
Cecil Sebastian Afrika,M,RSA,2016,Summer,Rio de Janeiro,Rugby Sevens,Rugby Sevens Men's Rugby Sevens,Bronze
Muhammad Afzal Manna,M,PAK,1964,Summer,Tokyo,Hockey,Hockey Men's Hockey,Silver
"Timothy Ernest Victor Kwizera ""Tim"" Agaba",M,RSA,2016,Summer,Rio de Janeiro,Rugby Sevens,Rugby Sevens Men's Rugby Sevens,Bronze
Lavinia Agache (-Carney),F,ROU,1984,Summer,Los Angeles,Gymnastics,Gymnastics Women's Team All-Around,Gold
Lavinia Agache (-Carney),F,ROU,1984,Summer,Los Angeles,Gymnastics,Gymnastics Women's Horse Vault,Bronze
Luca Agamennoni,M,ITA,2004,Summer,Athina,Rowing,Rowing Men's Coxless Fours,Bronze
Luca Agamennoni,M,ITA,2008,Summer,Beijing,Rowing,Rowing Men's Quadruple Sculls,Silver
Andre Kirk Agassi,M,USA,1996,Summer,Atlanta,Tennis,Tennis Men's Singles,Gold
Clarisse Agbegnenou,F,FRA,2016,Summer,Rio de Janeiro,Judo,Judo Women's Half-Middleweight,Silver
Henrik Agersborg,M,NOR,1920,Summer,Antwerpen,Sailing,Sailing Mixed 6 metres,Bronze
Viktor Ivanovich Ageyev,M,URS,1956,Summer,Melbourne,Water Polo,Water Polo Men's Water Polo,Bronze
Viktor Ivanovich Ageyev,M,URS,1960,Summer,Roma,Water Polo,Water Polo Men's Water Polo,Silver
Viktor Ivanovich Ageyev,M,URS,1964,Summer,Tokyo,Water Polo,Water Polo Men's Water Polo,Bronze
Marilyn Agliotti,F,NED,2008,Summer,Beijing,Hockey,Hockey Women's Hockey,Gold
Marilyn Agliotti,F,NED,2012,Summer,London,Hockey,Hockey Women's Hockey,Gold
Yannick Agnel,M,FRA,2012,Summer,London,Swimming,Swimming Men's 200 metres Freestyle,Gold
Yannick Agnel,M,FRA,2012,Summer,London,Swimming,Swimming Men's 4 x 100 metres Freestyle Relay,Gold
Yannick Agnel,M,FRA,2012,Summer,London,Swimming,Swimming Men's 4 x 200 metres Freestyle Relay,Silver
Meghan Christina Agosta (-Marciano),F,CAN,2006,Winter,Torino,Ice Hockey,Ice Hockey Women's Ice Hockey,Gold
