Name,Sex,NOC,Year,Season,City,Sport,Event,Medal
Heather Blaine Mitts (-Feeley),F,USA,2004,Summer,Athina,Football,Football Women's Football,Gold
Heather Blaine Mitts (-Feeley),F,USA,2008,Summer,Beijing,Football,Football Women's Football,Gold
Heather Blaine Mitts (-Feeley),F,USA,2012,Summer,London,Football,Football Women's Football,Gold
Daisuke Miura,M,JPN,2004,Summer,Athina,Baseball,Baseball Men's Baseball,Bronze
Takashi Miwa,M,JPN,1992,Summer,Barcelona,Baseball,Baseball Men's Baseball,Bronze
Yukinori Miyabe,M,JPN,1992,Winter,Albertville,Speed Skating,"Speed Skating Men's 1,000 metres",Bronze
Atsuji Miyahara,M,JPN,1984,Summer,Los Angeles,Wrestling,"Wrestling Men's Flyweight, Greco-Roman",Gold
Atsuji Miyahara,M,JPN,1988,Summer,Seoul,Wrestling,"Wrestling Men's Flyweight, Greco-Roman",Silver
Keiko Miyajima,F,JPN,1984,Summer,Los Angeles,Volleyball,Volleyball Women's Volleyball,Bronze
Hiromi Miyake,F,JPN,2012,Summer,London,Weightlifting,Weightlifting Women's Flyweight,Silver
Hiromi Miyake,F,JPN,2016,Summer,Rio de Janeiro,Weightlifting,Weightlifting Women's Flyweight,Bronze
Ryo Miyake,M,JPN,2012,Summer,London,Fencing,"Fencing Men's Foil, Team",Silver
Yoshinobu Miyake,M,JPN,1960,Summer,Roma,Weightlifting,Weightlifting Men's Bantamweight,Silver
Yoshinobu Miyake,M,JPN,1964,Summer,Tokyo,Weightlifting,Weightlifting Men's Featherweight,Gold
Yoshinobu Miyake,M,JPN,1968,Summer,Mexico City,Weightlifting,Weightlifting Men's Featherweight,Gold
Yoshiyuki Miyake,M,JPN,1968,Summer,Mexico City,Weightlifting,Weightlifting Men's Featherweight,Bronze
Aya Miyama,F,JPN,2012,Summer,London,Football,Football Women's Football,Silver
Emiko Miyamoto (-Terayama),F,JPN,1964,Summer,Tokyo,Volleyball,Volleyball Women's Volleyball,Gold
Masakatsu Miyamoto,M,JPN,1968,Summer,Mexico City,Football,Football Men's Football,Bronze
Shinya Miyamoto,M,JPN,2004,Summer,Athina,Baseball,Baseball Men's Baseball,Bronze
Teruki Miyamoto,M,JPN,1968,Summer,Mexico City,Football,Football Men's Football,Bronze
Tamari Miyashiro,F,USA,2012,Summer,London,Volleyball,Volleyball Women's Volleyball,Silver
Junichi Miyashita,M,JPN,2008,Summer,Beijing,Swimming,Swimming Men's 4 x 100 metres Medley Relay,Bronze
Yasuji Miyazaki,M,JPN,1932,Summer,Los Angeles,Swimming,Swimming Men's 100 metres Freestyle,Gold
Yasuji Miyazaki,M,JPN,1932,Summer,Los Angeles,Swimming,Swimming Men's 4 x 200 metres Freestyle Relay,Gold
Nwal-Endn Miyem,F,FRA,2012,Summer,London,Basketball,Basketball Women's Basketball,Silver
Mindaugas Mizgaitis,M,LTU,2008,Summer,Beijing,Wrestling,"Wrestling Men's Super-Heavyweight, Greco-Roman",Bronze
Noriko Mizoguchi,F,JPN,1992,Summer,Barcelona,Judo,Judo Women's Half-Lightweight,Silver
Gyrgy Mizsei,M,HUN,1992,Summer,Barcelona,Boxing,Boxing Men's Light-Middleweight,Bronze
Attila Mizsr,M,HUN,1988,Summer,Seoul,Modern Pentathlon,Modern Pentathlon Men's Team,Gold
Attila Mizsr,M,HUN,1992,Summer,Barcelona,Modern Pentathlon,Modern Pentathlon Men's Individual,Silver
Koichi Mizushima,M,JPN,1988,Summer,Seoul,Gymnastics,Gymnastics Men's Team All-Around,Bronze
Jun Mizutani,M,JPN,2016,Summer,Rio de Janeiro,Table Tennis,Table Tennis Men's Singles,Bronze
Jun Mizutani,M,JPN,2016,Summer,Rio de Janeiro,Table Tennis,Table Tennis Men's Team,Silver
Hisashi Mizutori,M,JPN,2004,Summer,Athina,Gymnastics,Gymnastics Men's Team All-Around,Gold
Armen Mkrtchyan,M,ARM,1996,Summer,Atlanta,Wrestling,"Wrestling Men's Light-Flyweight, Freestyle",Silver
Grigory Mkrtychevich Mkrtychan,M,URS,1956,Winter,Cortina d'Ampezzo,Ice Hockey,Ice Hockey Men's Ice Hockey,Gold
Mladen Venelinov Mladenov,M,BUL,1980,Summer,Moskva,Wrestling,"Wrestling Men's Flyweight, Greco-Roman",Bronze
Dragan Mladenovi,M,YUG,1984,Summer,Los Angeles,Handball,Handball Men's Handball,Gold
"Allison Jaime ""A. J."" Mleczko (-Griswold)",F,USA,1998,Winter,Nagano,Ice Hockey,Ice Hockey Women's Ice Hockey,Gold
"Allison Jaime ""A. J."" Mleczko (-Griswold)",F,USA,2002,Winter,Salt Lake City,Ice Hockey,Ice Hockey Women's Ice Hockey,Silver
Rid Mmmdbyov,M,URS,1952,Summer,Helsinki,Wrestling,"Wrestling Men's Bantamweight, Freestyle",Silver
Elnur Mmmdli,M,AZE,2008,Summer,Beijing,Judo,Judo Men's Lightweight,Gold
Aas Mmmdov,M,AZE,2004,Summer,Athina,Boxing,Boxing Men's Bantamweight,Bronze
Teymur Mmmdov,M,AZE,2012,Summer,London,Boxing,Boxing Men's Heavyweight,Bronze
Frid Mnsurov,M,AZE,2004,Summer,Athina,Wrestling,"Wrestling Men's Welterweight, Greco-Roman",Gold
Mo Huilan,F,CHN,1996,Summer,Atlanta,Gymnastics,Gymnastics Women's Horse Vault,Silver
Mo Ji-Su,M,KOR,1992,Winter,Albertville,Short Track Speed Skating,"Short Track Speed Skating Men's 5,000 metres Relay",Gold
Mo Tae-Beom,M,KOR,2010,Winter,Vancouver,Speed Skating,Speed Skating Men's 500 metres,Gold
Mo Tae-Beom,M,KOR,2010,Winter,Vancouver,Speed Skating,"Speed Skating Men's 1,000 metres",Silver
Magnus Hovdal Moan,M,NOR,2006,Winter,Torino,Nordic Combined,Nordic Combined Men's Individual,Bronze
Magnus Hovdal Moan,M,NOR,2006,Winter,Torino,Nordic Combined,Nordic Combined Men's Sprint,Silver
Magnus Hovdal Moan,M,NOR,2014,Winter,Sochi,Nordic Combined,"Nordic Combined Men's Large Hill / 10 km, Individual",Silver
Magnus Hovdal Moan,M,NOR,2014,Winter,Sochi,Nordic Combined,Nordic Combined Men's Team,Gold
Lars-Erik Moberg,M,SWE,1984,Summer,Los Angeles,Canoeing,"Canoeing Men's Kayak Singles, 500 metres",Silver
Lars-Erik Moberg,M,SWE,1984,Summer,Los Angeles,Canoeing,"Canoeing Men's Kayak Doubles, 500 metres",Silver
Lars-Erik Moberg,M,SWE,1984,Summer,Los Angeles,Canoeing,"Canoeing Men's Kayak Fours, 1,000 metres",Silver
Karl Osvald Moberg,M,SWE,1908,Summer,London,Gymnastics,Gymnastics Men's Team All-Around,Gold
Peer Moberg,M,NOR,1996,Summer,Atlanta,Sailing,Sailing Mixed One Person Dinghy,Bronze
Diana Iuliana Mocanu,F,ROU,2000,Summer,Sydney,Swimming,Swimming Women's 100 metres Backstroke,Gold
Diana Iuliana Mocanu,F,ROU,2000,Summer,Sydney,Swimming,Swimming Women's 200 metres Backstroke,Gold
Andr Moccand,M,SUI,1948,Summer,London,Rowing,Rowing Men's Coxed Fours,Silver
Dominique Helena Moceanu (-Canales),F,USA,1996,Summer,Atlanta,Gymnastics,Gymnastics Women's Team All-Around,Gold
Renato Mocellini,M,ITA,1956,Winter,Cortina d'Ampezzo,Bobsleigh,Bobsleigh Men's Four,Silver
"Robert Gaston ""Bob"" Moch",M,USA,1936,Summer,Berlin,Rowing,Rowing Men's Coxed Eights,Gold
Edward Russell Mockridge,M,AUS,1952,Summer,Helsinki,Cycling,"Cycling Men's 1,000 metres Time Trial",Gold
Edward Russell Mockridge,M,AUS,1952,Summer,Helsinki,Cycling,"Cycling Men's Tandem Sprint, 2,000 metres",Gold
Laurence Modaine-Cessac (Vallet-),F,FRA,1984,Summer,Los Angeles,Fencing,"Fencing Women's Foil, Team",Bronze
"Michael Thomas ""Mike"" Modano, Jr.",M,USA,2002,Winter,Salt Lake City,Ice Hockey,Ice Hockey Men's Ice Hockey,Silver
Mariyka Modeva,F,BUL,1976,Summer,Montreal,Rowing,Rowing Women's Coxed Fours,Silver
Mariyka Modeva,F,BUL,1980,Summer,Moskva,Rowing,Rowing Women's Coxed Fours,Silver
Jan Fredrik Modin,M,SWE,2006,Winter,Torino,Ice Hockey,Ice Hockey Men's Ice Hockey,Gold
Pter Mdos,M,HUN,2012,Summer,London,Wrestling,"Wrestling Men's Featherweight, Greco-Roman",Bronze
Bohumil Modr,M,TCH,1948,Winter,Sankt Moritz,Ice Hockey,Ice Hockey Men's Ice Hockey,Silver
Viktor Igorevich Modzalevsky,M,URS,1968,Summer,Mexico City,Fencing,"Fencing Men's epee, Team",Silver
Viktor Igorevich Modzalevsky,M,URS,1972,Summer,Munich,Fencing,"Fencing Men's epee, Team",Bronze
Davit Modzmanashvili,M,GEO,2012,Summer,London,Wrestling,"Wrestling Men's Super-Heavyweight, Freestyle",Silver
Per Ivar Moe,M,NOR,1964,Winter,Innsbruck,Speed Skating,"Speed Skating Men's 5,000 metres",Silver
"Thomas Sven ""Tommy"" Moe",M,USA,1994,Winter,Lillehammer,Alpine Skiing,Alpine Skiing Men's Downhill,Gold
"Thomas Sven ""Tommy"" Moe",M,USA,1994,Winter,Lillehammer,Alpine Skiing,Alpine Skiing Men's Super G,Silver
Karen Patricia Moe-Thornton (-Humphreys),F,USA,1972,Summer,Munich,Swimming,Swimming Women's 200 metres Butterfly,Gold
Anders Moen,M,NOR,1908,Summer,London,Gymnastics,Gymnastics Men's Team All-Around,Silver
Sigurd Olsen Moen,M,NOR,1924,Winter,Chamonix,Speed Skating,"Speed Skating Men's 1,500 metres",Bronze
Anita Moen-Guidon (-Moen Bonden),F,NOR,1994,Winter,Lillehammer,Cross Country Skiing,Cross Country Skiing Women's 4 x 5 kilometres Relay,Silver
Anita Moen-Guidon (-Moen Bonden),F,NOR,1998,Winter,Nagano,Cross Country Skiing,Cross Country Skiing Women's 15 kilometres,Bronze
Anita Moen-Guidon (-Moen Bonden),F,NOR,1998,Winter,Nagano,Cross Country Skiing,Cross Country Skiing Women's 4 x 5 kilometres Relay,Silver
Anita Moen-Guidon (-Moen Bonden),F,NOR,2002,Winter,Salt Lake City,Cross Country Skiing,Cross Country Skiing Women's Sprint,Bronze
Anita Moen-Guidon (-Moen Bonden),F,NOR,2002,Winter,Salt Lake City,Cross Country Skiing,Cross Country Skiing Women's 4 x 5 kilometres Relay,Silver
Roger Moens,M,BEL,1960,Summer,Roma,Athletics,Athletics Men's 800 metres,Silver
Roger douard Louis Marie Joseph Ghislain Moeremans d'Emas,M,BEL,1920,Summer,Antwerpen,Equestrianism,"Equestrianism Men's Three-Day Event, Team",Bronze
Nicolaas Moerloos,M,BEL,1920,Summer,Antwerpen,Gymnastics,Gymnastics Men's Team All-Around,Silver
Kurt Moeschter,M,GER,1928,Summer,Amsterdam,Rowing,Rowing Men's Coxless Pairs,Gold
Emma Moffatt,F,AUS,2008,Summer,Beijing,Triathlon,Triathlon Women's Olympic Distance,Bronze
John Moffitt,M,USA,2004,Summer,Athina,Athletics,Athletics Men's Long Jump,Silver
Dietmar Mgenburg,M,FRG,1984,Summer,Los Angeles,Athletics,Athletics Men's High Jump,Gold
Carsten Mogensen,M,DEN,2012,Summer,London,Badminton,Badminton Men's Doubles,Silver
Aleksandr Gennadiyevich Mogilny,M,URS,1988,Winter,Calgary,Ice Hockey,Ice Hockey Men's Ice Hockey,Gold
Oscar Aldo Moglia Eiras,M,URU,1956,Summer,Melbourne,Basketball,Basketball Men's Basketball,Bronze
Nils Arne Torgny Mogren,M,SWE,1988,Winter,Calgary,Cross Country Skiing,Cross Country Skiing Men's 4 x 10 kilometres Relay,Gold
Jnos Mogyorsi-Klencs,M,HUN,1948,Summer,London,Gymnastics,Gymnastics Men's Team All-Around,Bronze
Jnos Mogyorsi-Klencs,M,HUN,1948,Summer,London,Gymnastics,Gymnastics Men's Floor Exercise,Silver
Jnos Mogyorsi-Klencs,M,HUN,1948,Summer,London,Gymnastics,Gymnastics Men's Horse Vault,Bronze
Gyz Mogyorossy,M,HUN,1948,Summer,London,Gymnastics,Gymnastics Men's Team All-Around,Bronze
Ferenc Mohcsi,M,HUN,1956,Summer,Melbourne,Canoeing,"Canoeing Men's Canadian Doubles, 1,000 metres",Bronze
Seyed Morad Mohammadi Pahnehkalaei,M,IRI,2008,Summer,Beijing,Wrestling,"Wrestling Men's Lightweight, Freestyle",Bronze
Asgari Mohammadian,M,IRI,1988,Summer,Seoul,Wrestling,"Wrestling Men's Bantamweight, Freestyle",Silver
Asgari Mohammadian,M,IRI,1992,Summer,Barcelona,Wrestling,"Wrestling Men's Featherweight, Freestyle",Silver
Attia Mohammed Hamouda,M,EGY,1948,Summer,London,Weightlifting,Weightlifting Men's Lightweight,Silver
Lourdes Mohedano Snchez de Mora,F,ESP,2016,Summer,Rio de Janeiro,Rhythmic Gymnastics,Rhythmic Gymnastics Women's Group,Silver
Cyril Mohr,M,FRA,1906,Summer,Athina,Fencing,"Fencing Men's epee, Team",Gold
Eduard Mohr,M,GER,1936,Summer,Berlin,Sailing,Sailing Mixed 8 metres,Bronze
Anke Mhring,F,GDR,1988,Summer,Seoul,Swimming,Swimming Women's 400 metres Freestyle,Bronze
Alain Moineau,M,FRA,1948,Summer,London,Cycling,"Cycling Men's Road Race, Team",Bronze
Syed Ghulam Moinuddin,M,PAK,1984,Summer,Los Angeles,Hockey,Hockey Men's Hockey,Gold
Giuseppe Moioli,M,ITA,1948,Summer,London,Rowing,Rowing Men's Coxless Fours,Gold
Scott Patrick Moir,M,CAN,2010,Winter,Vancouver,Figure Skating,Figure Skating Mixed Ice Dancing,Gold
Scott Patrick Moir,M,CAN,2014,Winter,Sochi,Figure Skating,Figure Skating Mixed Ice Dancing,Silver
Scott Patrick Moir,M,CAN,2014,Winter,Sochi,Figure Skating,Figure Skating Mixed Team,Silver
Aleksandr Ivanovich Moiseyev,M,URS,1952,Summer,Helsinki,Basketball,Basketball Men's Basketball,Silver
Andrey Sergeyevich Moiseyev,M,RUS,2004,Summer,Athina,Modern Pentathlon,Modern Pentathlon Men's Individual,Gold
Andrey Sergeyevich Moiseyev,M,RUS,2008,Summer,Beijing,Modern Pentathlon,Modern Pentathlon Men's Individual,Gold
Yury Ivanovich Moiseyev,M,URS,1968,Winter,Grenoble,Ice Hockey,Ice Hockey Men's Ice Hockey,Gold
Irina Valentinovna Moiseyeva (-Minenkova),F,URS,1976,Winter,Innsbruck,Figure Skating,Figure Skating Mixed Ice Dancing,Silver
Irina Valentinovna Moiseyeva (-Minenkova),F,URS,1980,Winter,Lake Placid,Figure Skating,Figure Skating Mixed Ice Dancing,Bronze
Sayed Abdollah Mojtabavi,M,IRI,1952,Summer,Helsinki,Wrestling,"Wrestling Men's Welterweight, Freestyle",Bronze
Albert Andreyevich Mokeyev,M,URS,1964,Summer,Tokyo,Modern Pentathlon,Modern Pentathlon Men's Individual,Bronze
Albert Andreyevich Mokeyev,M,URS,1964,Summer,Tokyo,Modern Pentathlon,Modern Pentathlon Men's Team,Gold
Godfrey Khotso Mokoena,M,RSA,2008,Summer,Beijing,Athletics,Athletics Men's Long Jump,Silver
Yury Sergeyevich Molchan,M,RUS,2004,Summer,Athina,Fencing,"Fencing Men's Foil, Team",Bronze
Oleg Moldovan,M,MDA,2000,Summer,Sydney,Shooting,"Shooting Men's Running Target, 10 metres",Silver
Marcela Moldovan-Zsak,F,ROU,1984,Summer,Los Angeles,Fencing,"Fencing Women's Foil, Team",Silver
Alin George Moldoveanu,M,ROU,2012,Summer,London,Shooting,"Shooting Men's Air Rifle, 10 metres",Gold
Valter Molea,M,ITA,2000,Summer,Sydney,Rowing,Rowing Men's Coxless Fours,Silver
Kayla Moleschi,F,CAN,2016,Summer,Rio de Janeiro,Rugby Sevens,Rugby Sevens Women's Rugby Sevens,Bronze
Carlo Molfetta,M,ITA,2012,Summer,London,Taekwondo,Taekwondo Men's Heavyweight,Gold
Mari Kristine Sbstad Molid,F,NOR,2016,Summer,Rio de Janeiro,Handball,Handball Women's Handball,Bronze
Alicia Molik,F,AUS,2004,Summer,Athina,Tennis,Tennis Women's Singles,Bronze
Lars-Erik Molin,M,SWE,1980,Winter,Lake Placid,Ice Hockey,Ice Hockey Men's Ice Hockey,Bronze
Lars-Erik Molin,M,SWE,1988,Winter,Calgary,Ice Hockey,Ice Hockey Men's Ice Hockey,Bronze
Roberto Molina Carrasco,M,ESP,1984,Summer,Los Angeles,Sailing,Sailing Mixed Two Person Dinghy,Gold
Karl Molitor,M,SUI,1948,Winter,Sankt Moritz,Alpine Skiing,Alpine Skiing Men's Downhill,Bronze
Karl Molitor,M,SUI,1948,Winter,Sankt Moritz,Alpine Skiing,Alpine Skiing Men's Combined,Silver
Mahmoud Mollaghasemi Tabrizi,M,IRI,1952,Summer,Helsinki,Wrestling,"Wrestling Men's Flyweight, Freestyle",Bronze
Andreas Mollandin,M,FRG,1988,Summer,Seoul,Hockey,Hockey Men's Hockey,Silver
Georges Henri Joseph Mollard,M,FRA,1924,Summer,Paris,Sailing,Sailing Mixed 8 metres,Bronze
"Robert ""Bob"" Molle",M,CAN,1984,Summer,Los Angeles,Wrestling,"Wrestling Men's Super-Heavyweight, Freestyle",Silver
Paula Mollenhauer,F,GER,1936,Summer,Berlin,Athletics,Athletics Women's Discus Throw,Bronze
Thomas Mllenkamp,M,FRG,1988,Summer,Seoul,Rowing,Rowing Men's Coxed Eights,Gold
Adolf Mller,M,GER,1900,Summer,Paris,Rowing,Rowing Men's Coxed Fours,Bronze
David Mller,M,GER,2010,Winter,Vancouver,Luge,Luge Men's Singles,Silver
Frank Mller,M,GER,1996,Summer,Atlanta,Judo,Judo Men's Heavyweight,Bronze
Ivan Mauritz Mller,M,SWE,1912,Summer,Stockholm,Athletics,Athletics Men's 4 x 100 metres Relay,Silver
"Lorraine Mary Moller (-Daws, -Smith)",F,NZL,1992,Summer,Barcelona,Athletics,Athletics Women's Marathon,Bronze
Silke Mller (Gladisch-),F,GDR,1988,Summer,Seoul,Athletics,Athletics Women's 4 x 100 metres Relay,Silver
Ganesh Mollerapoovayya,M,IND,1972,Summer,Munich,Hockey,Hockey Men's Hockey,Bronze
"Arthur Owen ""Art"" Mollner",M,USA,1936,Summer,Berlin,Basketball,Basketball Men's Basketball,Gold
Daniele Cristoforo Molmenti,M,ITA,2012,Summer,London,Canoeing,"Canoeing Men's Kayak Singles, Slalom",Gold
Endre Molnr,M,HUN,1968,Summer,Mexico City,Water Polo,Water Polo Men's Water Polo,Bronze
Endre Molnr,M,HUN,1972,Summer,Munich,Water Polo,Water Polo Men's Water Polo,Silver
Endre Molnr,M,HUN,1976,Summer,Montreal,Water Polo,Water Polo Men's Water Polo,Gold
Endre Molnr,M,HUN,1980,Summer,Moskva,Water Polo,Water Polo Men's Water Polo,Bronze
Istvn Molnr,M,HUN,1936,Summer,Berlin,Water Polo,Water Polo Men's Water Polo,Gold
Tams Molnr,M,HUN,2000,Summer,Sydney,Water Polo,Water Polo Men's Water Polo,Gold
Tams Molnr,M,HUN,2004,Summer,Athina,Water Polo,Water Polo Men's Water Polo,Gold
Tams Molnr,M,HUN,2008,Summer,Beijing,Water Polo,Water Polo Men's Water Polo,Gold
"Frederick Graham ""Fred"" Moloney",M,USA,1900,Summer,Paris,Athletics,Athletics Men's 110 metres Hurdles,Bronze
"Andreas ""Anderl"" Molterer",M,AUT,1956,Winter,Cortina d'Ampezzo,Alpine Skiing,Alpine Skiing Men's Downhill,Bronze
"Andreas ""Anderl"" Molterer",M,AUT,1956,Winter,Cortina d'Ampezzo,Alpine Skiing,Alpine Skiing Men's Giant Slalom,Silver
Oleh Oleksiyovych Molyboha,M,URS,1976,Summer,Montreal,Volleyball,Volleyball Men's Volleyball,Silver
Oleh Oleksiyovych Molyboha,M,URS,1980,Summer,Moskva,Volleyball,Volleyball Men's Volleyball,Gold
Istvn Mna,M,HUN,1968,Summer,Mexico City,Modern Pentathlon,Modern Pentathlon Men's Team,Gold
Dmytro Vitaliyovych Monakov,M,URS,1988,Summer,Seoul,Shooting,Shooting Mixed Trap,Gold
Olivier Guy Jacques Marie Moncelet,M,FRA,1996,Summer,Atlanta,Rowing,Rowing Men's Coxless Fours,Silver
Roman Vitalyevich Monchenko,M,RUS,1996,Summer,Atlanta,Rowing,Rowing Men's Coxed Eights,Bronze
John James Monckton,M,AUS,1956,Summer,Melbourne,Swimming,Swimming Men's 100 metres Backstroke,Silver
"John Philip ""Phil"" Monckton",M,CAN,1984,Summer,Los Angeles,Rowing,Rowing Men's Quadruple Sculls,Bronze
Avard Moncur,M,BAH,2000,Summer,Sydney,Athletics,Athletics Men's 4 x 400 metres Relay,Bronze
Avard Moncur,M,BAH,2008,Summer,Beijing,Athletics,Athletics Men's 4 x 400 metres Relay,Silver
"Kenneth Dale ""Kenny"" Monday",M,USA,1988,Summer,Seoul,Wrestling,"Wrestling Men's Welterweight, Freestyle",Gold
"Kenneth Dale ""Kenny"" Monday",M,USA,1992,Summer,Barcelona,Wrestling,"Wrestling Men's Welterweight, Freestyle",Silver
Georgy Grigoryevich Mondzolevsky,M,URS,1964,Summer,Tokyo,Volleyball,Volleyball Men's Volleyball,Gold
Georgy Grigoryevich Mondzolevsky,M,URS,1968,Summer,Mexico City,Volleyball,Volleyball Men's Volleyball,Gold
Ion Monea,M,ROU,1960,Summer,Roma,Boxing,Boxing Men's Middleweight,Bronze
Ion Monea,M,ROU,1968,Summer,Mexico City,Boxing,Boxing Men's Light-Heavyweight,Silver
Adrian Calero Monger,M,AUS,1956,Summer,Melbourne,Rowing,Rowing Men's Coxed Eights,Bronze
Mnica Anglica de Paula,F,BRA,2004,Summer,Athina,Football,Football Women's Football,Silver
Georges Monier,M,BEL,1920,Summer,Antwerpen,Art Competitions,Art Competitions Mixed Music,Gold
Robert Monier,M,FRA,1920,Summer,Antwerpen,Sailing,Sailing Mixed 6.5 metres,Silver
Jean-Michel Monin,M,FRA,1996,Summer,Atlanta,Cycling,"Cycling Men's Team Pursuit, 4,000 metres",Gold
Craig John Monk,M,NZL,1992,Summer,Barcelona,Sailing,Sailing Men's One Person Dinghy,Bronze
Maurice Paul Ren Monney-Bouton,M,FRA,1920,Summer,Antwerpen,Rowing,Rowing Men's Coxed Pairs,Silver
Maurice Paul Ren Monney-Bouton,M,FRA,1924,Summer,Paris,Rowing,Rowing Men's Coxless Pairs,Silver
Henri Monnot,M,FRA,1900,Summer,Paris,Sailing,Sailing Mixed 0-0.5 Ton,Bronze
Eugne-douard Monod,M,SUI,1912,Summer,Stockholm,Art Competitions,Art Competitions Mixed Architecture,Gold
Jessica Monroe (-Gonin),F,CAN,1992,Summer,Barcelona,Rowing,Rowing Women's Coxless Fours,Gold
Jessica Monroe (-Gonin),F,CAN,1992,Summer,Barcelona,Rowing,Rowing Women's Coxed Eights,Gold
Jessica Monroe (-Gonin),F,CAN,1996,Summer,Atlanta,Rowing,Rowing Women's Coxed Eights,Silver
Paulino Monsalve Ballesteros,M,ESP,1980,Summer,Moskva,Hockey,Hockey Men's Hockey,Silver
Johannes Magdalon Monsen,M,NOR,1936,Summer,Berlin,Football,Football Men's Football,Bronze
"Walter George ""Wally"" Monson",M,CAN,1932,Winter,Lake Placid,Ice Hockey,Ice Hockey Men's Ice Hockey,Gold
Carl Henrik Monssen,M,NOR,1948,Summer,London,Rowing,Rowing Men's Coxed Eights,Bronze
Sigurd Synnestvedt Monssen,M,NOR,1948,Summer,London,Rowing,Rowing Men's Coxed Eights,Bronze
Jan-Marco Montag,M,GER,2008,Summer,Beijing,Hockey,Hockey Men's Hockey,Gold
Jos Montanaro Jnior,M,BRA,1984,Summer,Los Angeles,Volleyball,Volleyball Men's Volleyball,Silver
Aldo Montano,M,ITA,1936,Summer,Berlin,Fencing,"Fencing Men's Sabre, Team",Silver
Aldo Montano,M,ITA,1948,Summer,London,Fencing,"Fencing Men's Sabre, Team",Silver
Aldo Montano,M,ITA,2004,Summer,Athina,Fencing,"Fencing Men's Sabre, Individual",Gold
Aldo Montano,M,ITA,2004,Summer,Athina,Fencing,"Fencing Men's Sabre, Team",Silver
Aldo Montano,M,ITA,2008,Summer,Beijing,Fencing,"Fencing Men's Sabre, Team",Bronze
Aldo Montano,M,ITA,2012,Summer,London,Fencing,"Fencing Men's Sabre, Team",Bronze
Carlo Montano,M,ITA,1976,Summer,Montreal,Fencing,"Fencing Men's Foil, Team",Silver
Mario Aldo Montano,M,ITA,1972,Summer,Munich,Fencing,"Fencing Men's Sabre, Team",Gold
Mario Aldo Montano,M,ITA,1976,Summer,Montreal,Fencing,"Fencing Men's Sabre, Team",Silver
Mario Aldo Montano,M,ITA,1980,Summer,Moskva,Fencing,"Fencing Men's Sabre, Team",Silver
Mario Tullio Montano,M,ITA,1972,Summer,Munich,Fencing,"Fencing Men's Sabre, Team",Gold
Mario Tullio Montano,M,ITA,1976,Summer,Montreal,Fencing,"Fencing Men's Sabre, Team",Silver
Tommaso Montano,M,ITA,1976,Summer,Montreal,Fencing,"Fencing Men's Sabre, Team",Silver
Alejandro Ariel Montecchia,M,ARG,2004,Summer,Athina,Basketball,Basketball Men's Basketball,Gold
Telma Alexandra Pinto Monteiro,F,POR,2016,Summer,Rio de Janeiro,Judo,Judo Women's Lightweight,Bronze
"Stephen ""Steve"" Monteith",M,CAN,1968,Winter,Grenoble,Ice Hockey,Ice Hockey Men's Ice Hockey,Bronze
Daynellis Montejo Poll,F,CUB,2008,Summer,Beijing,Taekwondo,Taekwondo Women's Flyweight,Bronze
Pierre Montenot,M,FRA,1932,Summer,Los Angeles,Art Competitions,"Art Competitions Mixed Architecture, Architectural Designs",Gold
Eliecer Montes de Oca Fleitas,M,CUB,1996,Summer,Atlanta,Baseball,Baseball Men's Baseball,Gold
Pablo Montes Casanova,M,CUB,1968,Summer,Mexico City,Athletics,Athletics Men's 4 x 100 metres Relay,Silver
Robert Cecil Lindsay Montgomerie,M,GBR,1908,Summer,London,Fencing,"Fencing Men's epee, Team",Silver
Robert Cecil Lindsay Montgomerie,M,GBR,1912,Summer,Stockholm,Fencing,"Fencing Men's epee, Team",Silver
"John Carter ""Jack"" Montgomery",M,USA,1912,Summer,Stockholm,Equestrianism,"Equestrianism Men's Three-Day Event, Team",Bronze
"John Carter ""Jack"" Montgomery",M,USA,1920,Summer,Antwerpen,Polo,Polo Men's Polo,Bronze
Robert James Montgomery,M,CAN,1924,Summer,Paris,Shooting,"Shooting Men's Trap, Team",Silver
"James Paul ""Jim"" Montgomery",M,USA,1976,Summer,Montreal,Swimming,Swimming Men's 100 metres Freestyle,Gold
"James Paul ""Jim"" Montgomery",M,USA,1976,Summer,Montreal,Swimming,Swimming Men's 200 metres Freestyle,Bronze
"James Paul ""Jim"" Montgomery",M,USA,1976,Summer,Montreal,Swimming,Swimming Men's 4 x 200 metres Freestyle Relay,Gold
"James Paul ""Jim"" Montgomery",M,USA,1976,Summer,Montreal,Swimming,Swimming Men's 4 x 100 metres Medley Relay,Gold
"Jonathan Riley ""Jon"" Montgomery",M,CAN,2010,Winter,Vancouver,Skeleton,Skeleton Men's Skeleton,Gold
"Timothy ""Tim"" Montgomery",M,USA,1996,Summer,Atlanta,Athletics,Athletics Men's 4 x 100 metres Relay,Silver
"Timothy ""Tim"" Montgomery",M,USA,2000,Summer,Sydney,Athletics,Athletics Men's 4 x 100 metres Relay,Gold
Gal Fabrice Gabriel Monthurel,M,FRA,1992,Summer,Barcelona,Handball,Handball Men's Handball,Bronze
Bruno Monti,M,ITA,1952,Summer,Helsinki,Cycling,"Cycling Men's Road Race, Team",Silver
Carlo Monti,M,ITA,1948,Summer,London,Athletics,Athletics Men's 4 x 100 metres Relay,Bronze
