ID,Name,NOC,Year,Season,Sport,Event,Medal
416,Nils Georg berg,SWE,1912,Summer,Athletics,Athletics Men's Long Jump,Bronze
416,Nils Georg berg,SWE,1912,Summer,Athletics,Athletics Men's Triple Jump,Silver
423,Michael Brent Abernathy,USA,2000,Summer,Baseball,Baseball Men's Baseball,Gold
424,Moira Abernethy (-Ford),RSA,1956,Summer,Swimming,Swimming Women's 4 x 100 metres Freestyle Relay,Bronze
428,Elvan Abeylegesse,TUR,2008,Summer,Athletics,"Athletics Women's 5,000 metres",Silver
443,Ismail Abilov (-Nizamolu),BUL,1980,Summer,Wrestling,"Wrestling Men's Middleweight, Freestyle",Gold
454,"Edgar Allen ""Ed"" Ablowich",USA,1932,Summer,Athletics,Athletics Men's 4 x 400 metres Relay,Gold
455,Denis Mikhaylovich Ablyazin,RUS,2012,Summer,Gymnastics,Gymnastics Men's Floor Exercise,Bronze
455,Denis Mikhaylovich Ablyazin,RUS,2012,Summer,Gymnastics,Gymnastics Men's Horse Vault,Silver
455,Denis Mikhaylovich Ablyazin,RUS,2016,Summer,Gymnastics,Gymnastics Men's Team All-Around,Silver
455,Denis Mikhaylovich Ablyazin,RUS,2016,Summer,Gymnastics,Gymnastics Men's Horse Vault,Silver
455,Denis Mikhaylovich Ablyazin,RUS,2016,Summer,Gymnastics,Gymnastics Men's Rings,Bronze
460,Viktor Andreyevich Aboimov,URS,1972,Summer,Swimming,Swimming Men's 4 x 100 metres Freestyle Relay,Silver
460,Viktor Andreyevich Aboimov,URS,1972,Summer,Swimming,Swimming Men's 4 x 200 metres Freestyle Relay,Bronze
465,"Matthew ""Matt"" Abood",AUS,2016,Summer,Swimming,Swimming Men's 4 x 100 metres Freestyle Relay,Bronze
495,Alaaeldin Ahmad El-Sayyid Abouelkassem,EGY,2012,Summer,Fencing,"Fencing Men's Foil, Individual",Silver
507,Attila brahm,HUN,1988,Summer,Canoeing,"Canoeing Men's Kayak Doubles, 500 metres",Bronze
507,Attila brahm,HUN,1988,Summer,Canoeing,"Canoeing Men's Kayak Fours, 1,000 metres",Gold
507,Attila brahm,HUN,1992,Summer,Canoeing,"Canoeing Men's Kayak Fours, 1,000 metres",Silver
